n.country,n.id,n.srid, n.x, n.y,n.name
"ARE","standardcharteredbankdubaitreasuryaccountdubaiunitedarabemiratesare", 4326, 54, 24, "Standard Chartered Bank Dubai Treasury Account"
"ARE","nationalbkofrasalkhaimahpscrasalkhaimahunitedarabemiratesare", 4326, 54, 24, "National Bk of Ras Al Khaimah Psc"
"CHN","chinaconstructionbankbeijingchinachn", 4326, 105, 35, "China Construction Bank"
"LBN","byblosbanksalbeirutlebanonlbn", 4326, 35.8333, 33.8333, "Byblos Bank S.A.L. "
"RUS","ojscjscbinternationalfinancialclubmoscowrussiarus", 4326, 100, 60, "Ojsc Jscb International Financial Club"
"DEU","hshnordbankaghamburggermanydeu", 4326, 9, 51, "Hsh Nordbank AG"
"KAZ","sberbankjscalmatykazakhstankaz", 4326, 68, 48, "Sberbank JSC"
"RUS","banksoyuzmoscowrussiarus", 4326, 100, 60, "Bank Soyuz"
"RUS","sberbankofrussiamoscowrussiarus", 4326, 100, 60, "Sberbank of Russia"
"GBR","standardcharteredbanklondonenglandgbr", 4326, 2, 54, "Standard Chartered Bank"
"HKG","bankoftaiwanhongkonghkg", 4326, 114.1667, 22.25, "Bank of Taiwan"
"CHN","pinganbankcoltdshenzenchinachn", 4326, 105, 35, "Ping An Bank Co. Ltd."
"NOR","dnbbankasaoslonorwaynor", 4326, 10, 62, "DNB Bank Asa"
"CHE","creditsuisseaggenevaswitzerlandche", 4326, 8, 47, "Credit Suisse AG"
"GBR","nationalwestminsterbankplclondonenglandgbr", 4326, 2, 54, "National Westminster Bank Plc"
"CHN","pinganbankcoltdshenzhenchinachn", 4326, 105, 35, "Ping An Bank Co Ltd"
"IDN","ptbankcentralasiatbkjakartaindonesiaidn", 4326, 120, 5, "PT Bank Central Asia Tbk"
"OMN","bankmuscatalahlialomanisultanateofomanomn", 4326, 57, 21, "Bank Muscat Al Ahli Al Omani"
"GBR","commercialbankofceylonplcgreatbritaingbr", 4326, 2, 54, "Commercial Bank of Ceylon Plc"
"ARE","standardcharteredbankdubaiunitedarabemiratesare", 4326, 54, 24, "Standard Chartered Bank"
"ARE","habibbankagzurichdubaiunitedarabemiratesare", 4326, 54, 24, "Habib Bank AG Zurich"
"ARE","wallstreetexchangecenterllcdubaiunitedarabemiratesare", 4326, 54, 24, "Wall Street Exchange Center Llc"
"TUR","denizbankasistanbulturkeytur", 4326, 35, 39, "Denizbank A.S."
"TUR","turkiyeisbankasiistanbulturkeytur", 4326, 35, 39, "Turkiye Is Bankasi"
"TUR","eurobanktekfenasistanbulturkeytur", 4326, 35, 39, "Eurobank Tekfen A.S. "
"RUS","petrocommerceojscbankmoscowrussiarus", 4326, 100, 60, "Petrocommerce OJSC Bank"
"MDA","moldindconbanksachisinaumoldovamda", 4326, 29, 47, "Moldindconbank SA"
"CHE","ubsagzurichswitzerlandche", 4326, 8, 47, "UBS AG"
"DNK","nordeabankdanmarkascopenhagendenmarkdnk", 4326, 10, 56, "Nordea Bank Danmark A/S"
"RUS","promsvyazbankmoscowrussiarus", 4326, 100, 60, "Promsvyazbank"
"RUS","krbukhtabankukhtarussiarus", 4326, 100, 60, "Krb Ukhtabank"
"ARE","habibbankagzurichdubaiuaeare", 4326, 54, 24, "Habib Bank A G Zurich"
"RUS","unicreditbankcjscmoscowrussiarus", 4326, 100, 60, "UniCredit Bank Cjsc"
"RUS","vnesheconombankrussiarus", 4326, 100, 60, "Vnesheconombank"
"SGP","dbsbankltdsingaporesgp", 4326, 103.8, 1.3667, "DBS Bank Ltd"
"ARE","habibbankagzurichdubaiunitedarabemiratesare", 4326, 54, 24, "Habib Bank A G Zurich"
"RUS","creditunionpaymentcenterltdnovosibirskrussiarus", 4326, 100, 60, "Credit Union Payment Center Ltd"
"RUS","bankuralsibmoscowrussiarus", 4326, 100, 60, "Bank Uralsib"
"ISR","israeldiscountbankltdtelavivisraelisr", 4326, 34.75, 31.5, "Israel Discount Bank Ltd"
"KOR","wooribankseoulkoreakor", 4326, 127.5, 37, "Woori Bank"
"CZE","lbbwbankczasprahaczechrepubliccze", 4326, 15.5, 49.75, "Lbbw Bank Cz A.S. "
"RUS","bankvozrozhdeniemoscowrussianfederationrus", 4326, 100, 60, "Bank Vozrozhdenie"
"UKR","fidobankkyivukraineukr", 4326, 32, 49, "Fidobank"
"UKR","nadrabankkievukraineukr", 4326, 32, 49, "Nadra Bank"
"LBN","fransabanksallebanonlbn", 4326, 35.8333, 33.8333, "Fransabank Sal"
"NGA","unitedbankforafricaplcnigerianga", 4326, 8, 10, "United Bank For Africa Plc"
"ARE","blombankfrancedubaiare", 4326, 54, 24, "Blom Bank France"
"POL","raiffeisenbankpolskasawarszawapolandpol", 4326, 20, 52, "Raiffeisen Bank Polska S A"
"IDN","bankdbsindonesiaptjakartaindonesiaidn", 4326, 120, 5, "Bank DBS Indonesia PT"
"CHN","bankofshanghainingbochinachn", 4326, 105, 35, "Bank of Shanghai"
"CZE","ppfbankaaspragueczechrepubliccze", 4326, 15.5, 49.75, "PPF Banka A.S. "
"RUS","dnbnormonchebankmurmanskrussiarus", 4326, 100, 60, "DNB Nor Monchebank"
"DEU","berenbergbankhamburggermanydeu", 4326, 9, 51, "Berenberg Bank"
"HKG","huanancommercialbankltdhongkonghkg", 4326, 114.1667, 22.25, "Hua Nan Commercial Bank Ltd. "
"LUX","kbleuropeanprivatebankerssaluxembourglux", 4326, 6.1667, 49.75, "Kbl European Private Bankers S.A. "
"LUX","banquepriveeedmondderothchildluxembourgluxembourglux", 4326, 6.1667, 49.75, "Banque Privee Edmond De Rothchild"
"DNK","danskebankascopenhagendenmarkdnk", 4326, 10, 56, "Danske Bank A/S"
"POL","bankzachodniwbksapoznanpolandpol", 4326, 20, 52, "Bank Zachodni Wbk SA"
"LBN","cscbanksalbeirutlebanonlbn", 4326, 35.8333, 33.8333, "Cscbank Sal"
"RUS","alfabankmoscowrussiarus", 4326, 100, 60, "AlfaBank"
"CZE","ceskasportelnaaspragueczechrepubliccze", 4326, 15.5, 49.75, "Ceska Sportelna A.S."
"CHN","industrialcommlbankofchinabeijingchinachn", 4326, 105, 35, "Industrial Comml Bank of China"
"GBR","lloydstsbbankplclondonenglandgbr", 4326, 2, 54, "Lloyds TSB Bank Plc"
"DNK","nordeabankdanmarkascopenhagendenmarkdnk", 4326, 10, 56, "Nordea Bank Danmark A S"
"PAK","unitedbanklimitedkarachipakistanpak", 4326, 70, 30, "United Bank Limited"
"PAK","meezanbanklimitedkarachipakistanpak", 4326, 70, 30, "Meezan Bank Limited"
"TUR","kuwaitturkishparticipationbkincistanbulturkeytur", 4326, 35, 39, "Kuwait Turkish Participation Bk Inc"
"RUS","rosbankmoscowrussiarus", 4326, 100, 60, "Rosbank"
"IND","hdfcbankhousemumbaiindiaind", 4326, 77, 20, "Hdfc Bank House"
"MYS","standardcharteredbankmalaysiamys", 4326, 112.5, 2.5, "Standard Chartered Bank"
"IND","statebankofindiamumbaiindiaind", 4326, 77, 20, "State Bank of India"
"IND","punjabnationalbanknewdelhiindiaind", 4326, 77, 20, "Punjab National Bank"
"GBR","lloydsbankplcbirminghamenglandgbr", 4326, 2, 54, "Lloyds Bank Plc"
"IND","axisbankltdmumbaiindiaind", 4326, 77, 20, "Axis Bank Ltd"
"IND","icicibanklimitedmumbaiindiaind", 4326, 77, 20, "Icici Bank Limited"
"CAN","amanimakunguatbankofmontrealmontrealcanadacan", 4326, 95, 60, "Amani Makungu At Bank of Montreal"
"RUS","vtbbankopenjointstockbankmoscowrussiarus", 4326, 100, 60, "VTB Bank"
"LIE","liechtensteinischelandesbankvaduzliechtensteinlie", 4326, 9.5333, 47.1667, "Liechtensteinische Landesbank"
"FIN","nordeabankfinlandplchelsinkifinlandfin", 4326, 26, 64, "Nordea Bank Finland Plc"
"HKG","banksinopachongkonghkg", 4326, 114.1667, 22.25, "Bank Sinopac"
"LUX","vpbankluxembourglux", 4326, 6.1667, 49.75, "VP Bank"
"TUR","finansbankasistanbulturkeytur", 4326, 35, 39, "Finansbank A.S. "
"DEU","isbankagfrankfurtammaingermanydeu", 4326, 9, 51, "Isbank AG"
"HUN","mkbbankzrtbudapesthungaryhun", 4326, 20, 47, "Mkb Bank Zrt. "
"SGP","chinatrustcommercialbanksingaporesgp", 4326, 103.8, 1.3667, "Chinatrust Commercial Bank"
"RUS","vnesheconombankmoscowrussiarus", 4326, 100, 60, "Vnesheconombank"
"JAM","nationalcommercialbankjamaicaltdkingstonjamaicajam", 4326, 77.5, 18.25, "National Commercial Bank Jamaica Ltd."
"TUR","sekerbanktasistanbulturkeytur", 4326, 35, 39, "Sekerbank T A S"
"CZE","ceskoslovenskaobchodnibankaasczechrepubliccze", 4326, 15.5, 49.75, "Ceskoslovenska Obchodni Banka AS"
"RUS","bankvtb24jscrussiarus", 4326, 100, 60, "Bank VTB 24 JSC"
"RUS","alfabankrussiarus", 4326, 100, 60, "Alfa Bank"
"DEU","deutschepostbankaggermanydeu", 4326, 9, 51, "Deutsche Postbank Ag"
"LVA","swedbankaslatvialva", 4326, 25, 57, "Swedbank AS"
"EST","eestikreditbankestoniaest", 4326, 26, 59, "Eesti Kreditbank"
"CYP","cooperativecentralbankcypruscyp", 4326, 33, 35, "Co Operative Central Bank"
"CYP","piraeusbankcyprusltdcypruscyp", 4326, 33, 35, "Piraeus Bank Cyprus Ltd"
"GBR","bankofirelandglobalmarketsukgbr", 4326, 2, 54, "Bank of Ireland Global Markets"
"GBR","bankofirelandukplcukgbr", 4326, 2, 54, "Bank of Ireland UK Plc"
"CHE","societegeneraleprivatebankingsuisseswitzerlandche", 4326, 8, 47, "Societe Generale Private Banking"
"BEL","kbcbanknvbrusselsbelgiumbel", 4326, 4, 50.8333, "Kbc Bank NV"
"RUS","transcreditbankmoscowrussiarus", 4326, 100, 60, "Transcredit Bank"
"BEL","euroclearbanksabrusselsbelgiumbel", 4326, 4, 50.8333, "Euroclear Bank SA"
"NLD","ingbanknvamsterdamnetherlandsnld", 4326, 5.75, 52.5, "ING Bank NV"
"RUS","gazprombankopenjointstockcorussiarus", 4326, 100, 60, "Gazprombank Open JointStock Co"
"ARE","bankofbarodadubaiunitedarabemiratesare", 4326, 54, 24, "Bank of Baroda"
"ARE","alrostamaniinternationalexchangerasalkhaimahunitedarabemiratesare", 4326, 54, 24, "Al Rostamani International Exchange"
"ARE","nationalbkofrasalkhaimahpscunitedarabemiratesare", 4326, 54, 24, "National Bk of Ras Al Khaimah Psc"
"ARE","uaeexchangecentrellcabudhabiunitedarabemiratesare", 4326, 54, 24, "Uae Exchange Centre Llc"
"PRT","bancoespiritosantosalisbonportugalprt", 4326, 8, 39.5, "Banco Espirito Santo S.A.( Lisbon Portugal)"
"GBR","barclaysbankplcukcorporategbr", 4326, 2, 54, "Barclays Bank Plc"
"AUT","erstegroupbankagviennaaustriaaut", 4326, 13.3333, 47.3333, "Erste Group Bank AG"
"DEU","berlinervolksbankegberlingermanydeu", 4326, 9, 51, "Berliner Volksbank E G"
"AUT","vorarlbergervolksbankgmbhrankweilaustriaaut", 4326, 13.3333, 47.3333, "Vorarlberger Volksbank Gmbh"
"MEX","cibancosamexicocitymexicomex", 4326, 102, 23, "Ci Banco S.A."
"SVK","ceskoslovenskaobchodnabankaasbratislavaslovakiasvk", 4326, 19.5, 48.6667, "Ceskoslovenska Obchodna Banka A.S. "
"CHN","huaxiabankbeijingchinachn", 4326, 105, 35, "Hua Xia Bank Beijing"
"CHN","bankofcommunicationscoltdchinachn", 4326, 105, 35, "Bank of Communications Co. Ltd. "
"PER","bancodecreditodelperulimaperuper", 4326, 76, 10, "Banco De Credito Del Peru"
"CYM","dmsbanktrustltdgeorgetowncaymanislandscym", 4326, 80.5, 19.5, "DMS Bank & Trust Ltd. "
"LBN","bankaudisalbeirutlebanonlbn", 4326, 35.8333, 33.8333, "Bank Audi Sal"
"ARE","emiratesnbdbankpjscdeiradubaiuaeare", 4326, 54, 24, "Emirates Nbd Bank PJSC"
"KWT","commercialbankofkuwaitsaksafatkuwaitkwt", 4326, 47.6581, 29.3375, "Commercial Bank of Kuwait Sak"
"TUR","turkiyevakiflarbankasitaoistanbulturkeytur", 4326, 35, 39, "Turkiye Vakiflar Bankasi T.A.O"
"JOR","investbankjordanjor", 4326, 36, 31, "Investbank"
"JOR","capitalbankofjordanammanjordanjor", 4326, 36, 31, "Capital Bank of Jordan"
"JOR","blombanksalammanjordanjor", 4326, 36, 31, "Blom Bank S.A.L."
"LBN","bankofbeirutandthearabcountriessalbeirutlebanonlbn", 4326, 35.8333, 33.8333, "Bank of Beirut And The Arab Countries S A L"
"SGP","creditsuissesingaporebranchsingaporesgp", 4326, 103.8, 1.3667, "Credit Suisse Singapore Branch"
"CHE","banquepictetandciesagenevaswitzerlandche", 4326, 8, 47, "Banque Pictet And Cie SA"
"HKG","creditsuissekowloonhongkonghkg", 4326, 114.1667, 22.25, "Credit Suisse"
"RUS","bankotkritiefinancialcorporationmoscowrussiarus", 4326, 100, 60, "Bank Otkritie Financial Corporation"
"CYM","bankofbutterfieldinternationalgeorgetowncaymanislandscym", 4326, 80.5, 19.5, "Bank of Butterfield International"
"CHE","bsisaluganoswitzerlandche", 4326, 8, 47, "BSI SA"
"RUS","gazprombankmoscowrussiarus", 4326, 100, 60, "Gazprombank"
"CHE","efgbankzurichswitzerlandche", 4326, 8, 47, "EFG Bank"
"NAM","firstnationalbankofnamibialimitedwindhoeknamibianam", 4326, 17, 22, "First National Bank of Namibia Limited"
"HKG","standardcharteredbankhongkonghkg", 4326, 114.1667, 22.25, "Standard Chartered Bank"
"CYM","atlanticsecuritybankgeorgetowncaymanislandscym", 4326, 80.5, 19.5, "Atlantic Security Bank"
"KAZ","bankkazakhstanalmatykzkaz", 4326, 68, 48, "Bank Kazakhstan"
"HKG","dbsbankhongkonglimitedquarrybayhongkonghkg", 4326, 114.1667, 22.25, "DBS Bank"
"CHN","dbsbankchinalimitedbeijingchinachn", 4326, 105, 35, "DBS Bank"
"IDN","banknegaraindonesiaperserojakartaindonesiaidn", 4326, 120, 5, "Bank Negara Indonesia"
"SGP","dbsbankltdsingaporesingaporesgp", 4326, 103.8, 1.3667, "DBS Bank Ltd Singapore"
"SGP","overseachinesebankingcorpltdsingaporesgp", 4326, 103.8, 1.3667, "Oversea Chinese Banking Corp Ltd"
"CHE","creditsuisseaglausanneswitzerlandche", 4326, 8, 47, "Credit Suisse AG"
"GBR","santanderukplclondonenglandgbr", 4326, 2, 54, "Santander UK Plc"
"TUR","aktifyatirimbankasiasistanbulturkeytur", 4326, 35, 39, "Aktif Yatirim Bankasi A.S. "
"RUS","vtbbankrussiarus", 4326, 100, 60, "VTB Bank"
"TUR","denizbankasturkeytur", 4326, 35, 39, "Denizbank AS"
"RUS","savingsbankoftherussianfederationsamararussiarus", 4326, 100, 60, "Savings Bank of The Russian Federation"
"IRL","bankofirelanddublinirelandirl", 4326, 8, 53, "Bank of Ireland"
"CYM","bankofbutterfieldinternationalcaymanlimitedgeorgetowncaymanislandscym", 4326, 80.5, 19.5, "Bank of Butterfield International"
"HKG","chinaciticbankinternationalltdhongkonghkg", 4326, 114.1667, 22.25, "China Citic Bank International Ltd"
"AUS","nationalaustraliabanklimitedmelbournevictoriaaustraliaaus", 4326, 133, 27, "National Australia Bank Limited"
"CHE","investecbankswitzerlandagzurichswitzerlandche", 4326, 8, 47, "Investec Bank"
"AUS","macquariebanklimitedsydneyaustraliaaus", 4326, 133, 27, "Macquarie Bank Limited"
"SGP","rhbbankberhadsingaporesgp", 4326, 103.8, 1.3667, "Rhb Bank Berhad"
